id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1207529654956431994,Loft apartment at the New Yorker,8095019,Rebecca,,Spring Hill,-27.4624365,153.0306249,Entire home/apt,171,4,13,2025-05-18,1.29,2,268,13,
1207601557496521512,"Perfect South Bank Apt w/ City Views, Study & Park",78924442,Lee And Bella,,South Brisbane,-27.47512,153.01542,Entire home/apt,156,1,30,2025-05-26,2.88,286,348,30,
1207659959916553014,1 Bdr Apt! Aircon! Garage! GST Credits! 219D1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.5456881,153.0113903,Entire home/apt,215,1,2,2025-05-12,0.26,103,354,2,
1207664400881643723,CASSA ONE - Modern Family Living in Prime CBD,464306667,The Cassa,,Brisbane City,-27.470414,153.0219769,Entire home/apt,249,2,6,2025-02-09,0.61,31,39,6,
1207673275783740558,Sunny Outlook,399110236,Richard,,Coopers Plains,-27.5736401,153.0476662,Private room,64,3,0,,,3,329,0,
1207677022423160368,Location! Ensuite Room! City Centre! Own Bathroom,312147533,Jacky,,Brisbane City,-27.4718535,153.0288312,Private room,149,1,46,2025-06-08,4.55,6,125,46,
1207684152008842860,River Views in Heart of Brisbane CBD w/ Pool + Gym,537963586,Daniel,,Brisbane City,-27.4652678,153.0304269,Entire home/apt,210,1,3,2025-03-30,0.33,46,339,3,
1208159889622344782,Happy Home,505605626,Kulvin,,Rocklea - Acacia Ridge,-27.59224,153.02349,Private room,,1,8,2025-05-03,0.87,1,364,8,
1208206701847610430,3 Bdr Apt! Aircon! Garage! GST Credits! 219D3,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.5456881,153.0113903,Entire home/apt,370,1,3,2025-05-06,0.29,103,354,3,
1208306686258086524,1 Bdr Apt! Aircon! Garage! GST Credits! 120D1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.5451919,153.0117121,Entire home/apt,215,1,5,2025-02-22,0.89,103,329,5,
1208342873841120393,2 Bdr Apt! Aircon! Garage! GST Credits! 120D2,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.5451919,153.0117121,Entire home/apt,299,1,1,2024-12-19,0.17,103,329,1,
1208352995264871452,1 Bdr Apt! Aircon! Undercover Parking! 539F1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.55371,153.01646,Entire home/apt,198,1,6,2025-05-17,0.68,103,361,6,
1208353100541911839,3 Bdr Apt! Aircon! Garage! GST Credits! 120D3,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.5451919,153.0117121,Entire home/apt,449,1,3,2025-05-04,0.28,103,329,3,
1208381217999190733,1 Bdr Apt! GST Credits! Parking! Espresso! 216F1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.5548246,153.0154404,Entire home/apt,198,1,2,2024-09-22,0.23,103,338,2,
1208400429894214204,Central Comfort - 2BR Apartment with Pool and Gym,469195899,Yongquan,,Brisbane City,-27.4718535,153.0288312,Entire home/apt,172,2,20,2025-05-18,3.24,11,193,20,
1208413710223070451,1 Bdr Apt! Aircon! Undercover Parking! 435AF1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.55418,153.0163,Entire home/apt,203,1,0,,,103,347,0,
1208413767164107749,1 Bdr Apt! Aircon! Undercover Parking! 435F1,525145710,Smart-Suites,,Rocklea - Acacia Ridge,-27.5539757,153.0163172,Entire home/apt,209,1,3,2024-12-18,0.34,103,365,3,
1208461690198132353,Spring Hill Studio4Rent,573115755,Brendan,,Spring Hill,-27.463502350899965,153.02419288743664,Entire home/apt,160,2,0,,,5,363,0,
1208513690867883352,Private studio 4 rent,573115755,Brendan,,Mount Gravatt,-27.53172,153.07954,Entire home/apt,150,7,0,,,5,365,0,
1209039791991517158,"Bright & Modern 1BR Apt Pool, Gym, WiFi & Balcony!",78924442,Lee And Bella,,Fortitude Valley,-27.45738,153.03226,Entire home/apt,138,1,31,2025-05-05,3.01,286,353,31,
1209083832737814528,"Luxury 1BR Apt with Carpark, Gym & Pool",580435306,Madison,,South Brisbane,-27.4721516,153.0160066,Entire home/apt,163,2,1,2025-01-20,0.21,9,172,1,
1209247154106352889,Art Deco Abode with Leafy Courtyard,79289594,Tairra,,New Farm,-27.47128,153.04461,Entire home/apt,170,4,18,2025-05-04,1.96,4,45,18,
1210268072101024896,Townhouse in Gordon Park,23203226,Julie,,Kedron - Gordon Park,-27.41435,153.02561,Private room,100,1,14,2025-05-30,1.39,2,361,14,
1210580719699733459,Townhouse,23203226,Julie,,Kedron - Gordon Park,-27.41281,153.02542,Private room,100,1,20,2025-05-15,1.97,2,348,20,
1210603809606695075,Casino Towers - Whole Apartment in Brisbane city,49521649,Mindaugas,,Brisbane City,-27.4719022,153.0249499,Entire home/apt,,2,22,2025-05-24,2.26,1,296,22,
1211248348839590295,Homy Self-Contained Unit @ SunnybankCBD w/Parking,462793159,Xiaoyi,,Robertson,-27.5700175,153.0529189,Private room,130,1,5,2024-11-28,0.55,44,160,5,
1211281557989523913,Comfy room in a peaceful suburb,35831810,Sarah,,Darra - Sumner,-27.5626769,152.9240629,Private room,59,1,6,2024-11-23,0.69,14,365,6,
1211341992867444526,West End on Jane,541320105,Michelle,,West End,-27.47748,153.00994,Entire home/apt,315,2,1,2025-05-04,0.81,1,360,1,
1211830741932016208,Sunny & Central Apt + Best Location w/ Pool & Gym!,78924442,Lee And Bella,,South Brisbane,-27.4754,153.01502,Entire home/apt,134,1,37,2025-05-17,3.59,286,340,37,
1211915788176763304,The New Farm Collection - Stylish 1BR w Pool & Gym,537963586,Daniel,,New Farm,-27.4666,153.04067,Entire home/apt,208,1,5,2025-04-28,0.52,46,354,5,
1211934649891166595,Lovely tiny home at Sunnybank CBD w/parking,462793159,Xiaoyi,,Sunnybank,-27.57054,153.05226,Private room,131,1,1,2024-09-30,0.12,44,168,1,
1211953543298780143,Value! 4 Bedroom Home w/ Bath tub & A/C @Sunnybank,462793159,Xiaoyi,,Robertson,-27.56944,153.05176,Private room,252,2,10,2025-04-23,0.96,44,173,10,
1212282169768963643,Bedroom No.3/Pool view,46245315,Yazhou,,Wynnum West - Hemmant,-27.45747,153.13863,Private room,100,2,2,2024-08-23,0.20,6,70,2,
1212283634848061807,Cozy Bedroom No.4/ Close to airport,46245315,Yazhou,,Wynnum West - Hemmant,-27.45807,153.13818,Private room,100,2,4,2025-05-24,0.39,6,70,4,
1212284487818284371,Bedroom 5/ 15mins to airport/20mins to to city,46245315,Yazhou,,Wynnum West - Hemmant,-27.45873,153.13899,Private room,101,2,5,2025-05-28,0.49,6,70,5,
1212576145546138843,Peaceful Family Entertained house at Parkinson,97177917,Olivia,,Parkinson - Drewvale,-27.6334,153.02477,Entire home/apt,251,2,12,2025-03-25,1.15,129,179,12,
1212945009316244712,"Urban Oasis - Gasworks, Newstead (Private Room)",68171521,Nick,,Newstead - Bowen Hills,-27.4504,153.04648,Private room,135,1,21,2025-05-31,2.28,2,356,21,
1213142075788807512,luxury wool store loft,44829199,Lachlan,,Newstead - Bowen Hills,-27.45384,153.04976,Entire home/apt,770,1,1,2024-08-12,0.10,1,297,1,
1213326698740336027,Urban Lushscape: Riverside Retreat in Newstead,519005019,Rudi And Ish,,Newstead - Bowen Hills,-27.450929,153.0465718,Entire home/apt,164,2,11,2025-06-03,1.10,35,338,11,
